,Date,truckid,nbags,net_weight,origin,supplier,moisture,nut_count,outturn,defective,price,year,month,day,avg_wpb
0,2015-03-05,8553FA02,567,40597,66,119,11.3,191.0,48.4,10.25,,2015,3,5,71.59964726631394
1,2015-03-09,7162EG01,226,20253,82,123,12.6,184.0,48.22,8.9,,2015,3,9,89.61504424778761
2,2015-03-10,4819CJ01,506,38878,51,15,10.1,194.0,45.76,10.9,,2015,3,10,76.83399209486166
3,2015-03-11,8581FK05,422,39354,47,66,10.0,183.0,48.93,9.1,,2015,3,11,93.25592417061611
4,2015-03-11,5066FL01,555,40009,66,119,11.3,193.0,46.29,12.65,,2015,3,11,72.08828828828828
5,2015-03-12,7858GP03,485,40819,31,15,9.3,183.0,45.58,11.7,,2015,3,12,84.16288659793814
6,2015-03-12,1609GN01,453,40751,52,53,12.3,191.0,47.78,10.6,,2015,3,12,89.95805739514348
7,2015-03-12,9566GC01,430,40218,6,19,10.7,188.0,48.75,7.85,,2015,3,12,93.53023255813953
8,2015-03-13,7922GR01,385,35383,9,84,9.9,179.0,48.31,8.25,,2015,3,13,91.9038961038961
9,2015-03-13,9534EO01,389,34511,66,122,13.3,195.0,47.43,12.35,,2015,3,13,88.7172236503856
10,2015-03-14,3625CF01,441,39947,76,66,9.76,200.0,47.34,10.75,,2015,3,14,90.58276643990929
11,2015-03-16,7922GR01,390,35866,9,84,11.8,177.0,46.64,10.4,,2015,3,16,91.96410256410256
12,2015-03-16,1424FK01,378,34950,9,75,9.88,189.0,48.58,9.2,,2015,3,16,92.46031746031746
13,2015-03-16,378FK01,489,37155,66,119,8.36,198.0,48.66,8.0,,2015,3,16,75.98159509202453
14,2015-03-16,7375CB01,423,39093,78,15,11.47,175.0,46.73,11.0,,2015,3,16,92.41843971631205
15,2015-03-18,7796EK03,397,38039,52,53,11.4,176.0,48.22,9.0,,2015,3,18,95.816120906801
16,2015-03-19,8361EH01,206,18878,76,83,15.0,185.0,48.75,9.65,,2015,3,19,91.64077669902913
17,2015-03-19,7922GR01,436,35116,9,84,11.6,188.0,48.22,7.4,,2015,3,19,80.54128440366972
18,2015-03-19,8010EJ03,454,40362,53,123,11.8,175.0,47.08,9.1,,2015,3,19,88.90308370044053
19,2015-03-19,2081GA03,466,40654,19,123,13.6,172.0,46.72,10.8,,2015,3,19,87.24034334763948
20,2015-03-19,3876EX01,387,34769,9,75,9.13,177.0,48.49,7.5,,2015,3,19,89.8423772609819
21,2015-03-23,3876EX01,380,34380,9,75,12.86,176.0,47.43,9.45,,2015,3,23,90.47368421052632
22,2015-03-23,8728EL02,516,41300,11,14,7.3,178.0,49.01,8.1,,2015,3,23,80.03875968992249
23,2015-03-23,1074FL01,412,34936,60,118,15.0,166.0,45.94,10.45,,2015,3,23,84.79611650485437
24,2015-03-23,2344FP01,468,35940,66,119,9.8,193.0,48.31,9.5,,2015,3,23,76.7948717948718
25,2015-03-23,7922GR01,434,34950,9,84,11.3,174.0,47.87,8.7,,2015,3,23,80.52995391705069
26,2015-03-23,2480FH01,397,35111,9,84,11.8,165.0,47.78,7.8,,2015,3,23,88.44080604534005
27,2015-03-23,4840FR01,367,36093,3,19,8.73,180.0,44.61,13.4,,2015,3,23,98.34604904632153
28,2015-03-23,6330FT02,306,26238,41,21,13.8,182.0,43.29,15.8,,2015,3,23,85.74509803921569
29,2015-03-23,487GH01,403,36869,55,117,7.1,204.0,47.25,7.6,,2015,3,23,91.4863523573201
30,2015-03-24,8438CG03,447,39981,19,54,13.33,175.5,44.97,14.8,,2015,3,24,89.44295302013423
31,2015-03-24,804FK01,445,39571,9,75,11.4,177.0,48.14,7.9,,2015,3,24,88.92359550561798
32,2015-03-25,7375CB01,448,39500,78,111,19.0,168.0,46.46,9.95,,2015,3,25,88.16964285714286
33,2015-03-25,9592EG01,457,40571,20,17,16.0,170.0,46.81,13.0,,2015,3,25,88.77680525164114
34,2015-03-25,6960CT03,504,45140,75,14,9.6,192.0,45.23,9.4,,2015,3,25,89.56349206349206
35,2015-03-25,2480FH01,411,35261,9,84,16.73,177.0,47.34,9.15,,2015,3,25,85.79318734793188
36,2015-03-26,3063EV01,405,35379,9,84,16.76,178.0,47.78,8.6,,2015,3,26,87.35555555555555
37,2015-03-27,1424FK01,356,34888,9,75,9.0,205.0,47.61,9.45,,2015,3,27,98.0
38,2015-03-27,4643FK02,428,37816,17,110,11.1,187.0,48.75,7.7,,2015,3,27,88.35514018691589
39,2015-03-27,5238FK01,399,34513,45,16,14.0,182.0,48.22,10.75,,2015,3,27,86.49874686716792
40,2015-03-27,6866GL01,453,38619,43,56,13.2,178.0,47.87,10.1,,2015,3,27,85.25165562913908
41,2015-03-27,1929FR03,444,40968,52,66,12.2,172.0,46.2,11.7,,2015,3,27,92.27027027027027
42,2015-03-27,5920FF01,272,25512,63,66,12.16,197.0,48.57,8.1,,2015,3,27,93.79411764705883
43,2015-03-27,2480FH01,360,35392,9,84,16.63,175.0,47.25,8.3,,2015,3,27,98.31111111111112
44,2015-03-27,2328FG03,441,37299,60,55,14.16,177.0,45.23,12.3,,2015,3,27,84.578231292517
45,2015-03-28,7922GR01,389,35403,9,84,13.3,176.0,48.13,7.7,,2015,3,28,91.01028277634961
46,2015-03-28,2203FS01,473,40331,60,128,7.76,186.0,45.76,11.8,,2015,3,28,85.26638477801268
47,2015-03-28,1623FS01,439,37213,60,128,7.3,182.0,45.94,12.1,,2015,3,28,84.76765375854214
48,2015-03-28,2441FP01,433,34259,66,119,13.16,186.0,45.14,9.5,,2015,3,28,79.12009237875289
49,2015-03-30,2480FH01,399,35213,9,84,15.14,175.0,48.22,8.8,,2015,3,30,88.2531328320802
50,2015-03-30,3063EU01,398,34110,9,84,13.56,179.0,47.17,9.3,,2015,3,30,85.7035175879397
51,2015-03-30,4623EZ01,399,34625,9,75,16.56,193.0,46.99,12.3,,2015,3,30,86.77944862155388
52,2015-03-30,6612FJ03,408,39256,28,112,14.93,186.0,47.43,11.5,,2015,3,30,96.2156862745098
53,2015-03-30,1557GC01,434,39154,79,116,11.1,192.0,45.14,14.45,,2015,3,30,90.21658986175115
54,2015-03-30,2256EN01,357,31587,66,119,13.76,174.0,46.46,10.4,,2015,3,30,88.47899159663865
55,2015-03-30,2371CE04,223,20277,30,18,9.36,186.0,48.05,8.1,,2015,3,30,90.92825112107623
56,2015-03-30,2081GA03,446,39882,20,114,15.33,170.0,46.37,9.15,,2015,3,30,89.42152466367713
57,2015-03-30,8020EJ03,436,39024,20,114,11.26,186.0,47.08,8.95,,2015,3,30,89.5045871559633
58,2015-03-31,3756EY01,155,14609,32,36,11.1,185.0,47.96,8.7,,2015,3,31,94.2516129032258
59,2015-03-31,3876EX01,375,34477,9,75,11.1,185.0,47.87,8.9,,2015,3,31,91.93866666666666
60,2015-03-31,972FP02,339,30425,14,93,14.76,175.0,45.58,9.6,,2015,3,31,89.74926253687316
61,2015-03-31,8438CG03,444,39540,20,54,13.56,175.0,47.08,10.8,,2015,3,31,89.05405405405405
62,2015-03-31,9621FL02,447,36709,11,14,14.43,184.0,46.11,10.4,,2015,3,31,82.12304250559284
63,2015-03-31,9750FN01,448,39652,60,118,10.63,178.0,46.72,10.35,,2015,3,31,88.50892857142857
64,2015-03-31,6091EH01,443,39753,72,15,11.96,149.0,45.06,12.5,,2015,3,31,89.73589164785552
65,2015-03-31,5869FB01,442,37710,66,119,13.36,186.0,47.1,8.7,,2015,3,31,85.31674208144797
66,2015-03-31,5691FN01,401,36579,73,62,12.2,193.0,49.81,8.4,,2015,3,31,91.21945137157107
67,2015-04-01,7323FA01,420,36632,63,62,19.2,204.0,49.02,11.6,,2015,4,1,87.21904761904761
68,2015-04-01,1423FK01,430,39282,9,75,13.0,189.0,47.08,10.4,,2015,4,1,91.35348837209303
69,2015-04-02,9FE01,430,39286,60,86,16.2,167.0,46.11,9.85,,2015,4,2,91.36279069767441
70,2015-04-02,2480FH01,396,34720,9,84,14.0,173.0,49.02,7.3,,2015,4,2,87.67676767676768
71,2015-04-02,2182CU03,549,44071,75,14,6.33,193.0,46.52,13.55,,2015,4,2,80.27504553734062
72,2015-04-02,6312GC01,449,34963,73,62,14.56,190.0,47.08,13.55,,2015,4,2,77.86859688195992
73,2015-04-02,3063GC01,370,32770,9,84,13.26,162.0,48.84,6.0,,2015,4,2,88.56756756756756
74,2015-04-02,9275GC01,436,39360,17,86,11.13,171.0,46.9,8.05,,2015,4,2,90.27522935779817
75,2015-04-03,6573GL01,484,40264,60,86,11.3,175.0,46.02,11.3,,2015,4,3,83.1900826446281
76,2015-04-03,2739FL01,453,39827,5,9,17.0,190.0,44.08,19.1,,2015,4,3,87.91832229580574
77,2015-04-03,7922GR01,376,35104,9,84,16.86,179.0,49.02,6.9,,2015,4,3,93.36170212765957
78,2015-04-04,2773BH01,440,39716,34,86,12.8,182.0,45.76,12.7,,2015,4,4,90.26363636363637
79,2015-04-04,1437FK01,443,39817,9,75,14.7,189.0,47.08,9.35,,2015,4,4,89.8803611738149
80,2015-04-04,1256FL01,447,39773,24,127,7.73,185.0,46.64,7.8,,2015,4,4,88.97762863534676
81,2015-04-04,6392EJ01,424,37876,19,114,12.6,161.0,47.52,8.4,,2015,4,4,89.33018867924528
82,2015-04-04,7066EU02,493,41275,11,14,10.73,185.0,47.26,10.7,,2015,4,4,83.72210953346855
83,2015-04-05,2480FH01,379,33929,9,84,17.4,179.0,48.57,9.05,,2015,4,5,89.52242744063325
84,2015-04-05,1424FK01,395,35489,9,75,14.8,178.0,47.08,8.05,,2015,4,5,89.84556962025316
85,2015-04-05,6692CB01,374,34170,41,52,15.23,176.0,47.17,10.8,,2015,4,5,91.36363636363636
86,2015-04-06,5366EQ01,431,38553,49,66,15.7,187.0,48.05,9.75,,2015,4,6,89.45011600928075
87,2015-04-06,8581FK03,428,38564,52,66,13.0,161.0,48.14,9.85,,2015,4,6,90.10280373831776
88,2015-04-07,2666FG03,461,40487,75,14,10.16,181.0,46.9,9.4,,2015,4,7,87.82429501084599
89,2015-04-07,8010EJ01,451,39301,4,115,14.26,191.0,48.4,7.95,,2015,4,7,87.14190687361419
